,Activity_ID,Activity_Name,Activity_Content,Activity_Type,GameType,Ages_2yo,Ages_3yo,Ages_4yo,Ages_5yo,Ages_6yo,Ages_7yo,Cultures_None,Cultures_Brazil,Cultures_US,Cultures_UK,Cultures_Denmark,Cultures_Spain,Cultures_Mexico,Cultures_Canada,Cultures_Portugal,Cultures_Australia,Cultures_France,Cultures_Italy,Cultures_Germany
133,sleeping-poiki-game-1,Good night!,sleeping,SEL,game,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
134,country-birthday-game-1,How people celebrate birthday,birthday,SEL,game,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
135,who-wendy-colors-1,Wendy's bobble bath,colors,standard,game,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,lab-kevin-game-1,Whack the germs,health,standard,game,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,pets-bingo-1,Bingo - pets,pets,standard,bingo,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,farmanimals-bingo-1,Bingo - farm animals,farm-animals,standard,bingo,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,colors-bingo-1,Bingo - colors,colors,standard,bingo,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,myself-bingo-1,Bingo - my name,myself,SEL,bingo,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141,beach-bingo-1,Bingo - beach,beach,standard,bingo,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,body-roulette-1,Roulette - body,body,standard,roulette,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
143,clothes-roulette-1,Roulette - get the right clothes,clothes,cultural,roulette,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
144,foodsl-roulette-1,Roulette - 3 meals in a restaurant,foods,cultural,roulette,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
145,shopping-roulette-1,Roulette - shopping cart,shopping,cultural,roulette,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
146,insects-roulette-1,Roulette - insects,insects,cultural,roulette,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
147,shapes-poiki-sequence-1,Poiki is drawing  in the stars,shapes,standard,sequence,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
148,shapes-memory-1,4 pairs memory game,shapes,standard,memory,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,clothes-memory-1,4 pairs memory game,clothes,standard,memory,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150,colors-memory-1,4 pairs memory game,colors,standard,memory,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151,desertanimals-memory-1,4 pairs memory game,desert-animals,standard,memory,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,dinosaurs-memory-1,4 pairs memory game,dinosaurs,standard,memory,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
153,feelings-memory-1,4 pairs memory game,feelings,SEL,memory,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,foods-memory-1,4 pairs memory game,foods,cultural,memory,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
